Rk,Team,G,Pts_Per_G,Tot_Pts,Att,Att_Per_G,Yds,Avg,Yds_Per_G,TD,Lng,First,First_Perc,Twenty_Plus,Forty_Plus,FUM
1,49ers,16,14.9,238,390,24.4,1544,4.0,96.5,7,47,83,21.3,6,2,8
2,Bears,16,20.9,335,468,29.2,1854,4.0,115.9,13,27,108,23.1,6,0,5
3,Bengals,16,26.2,419,467,29.2,1805,3.9,112.8,18,38,99,21.2,5,0,8
4,Bills,16,23.7,379,509,31.8,2432,4.8,152.0,19,60,122,24.0,19,4,9
5,Broncos,16,22.2,355,411,25.7,1718,4.2,107.4,13,72,85,20.7,11,2,5
6,Browns,16,17.4,278,380,23.8,1529,4.0,95.6,5,54,81,21.3,10,2,5
7,Buccaneers,16,21.4,342,455,28.4,2162,4.8,135.1,12,84,99,21.8,20,5,9
8,Cardinals,16,30.6,489,452,28.2,1917,4.2,119.8,16,63,92,20.4,12,5,8
9,Chargers,16,20,320,393,24.6,1358,3.5,84.9,4,53,79,20.1,9,1,7
10,Chiefs,16,25.3,405,436,27.2,2044,4.7,127.8,19,52,116,26.6,13,2,5
11,Colts,16,20.8,333,396,24.8,1438,3.6,89.9,6,37,77,19.4,7,0,6
12,Cowboys,16,17.2,275,408,25.5,1890,4.6,118.1,8,50,94,23.0,17,3,7
13,Dolphins,16,19.4,310,344,21.5,1496,4.3,93.5,11,85,72,20.9,12,1,4
14,Eagles,16,23.6,377,442,27.6,1743,3.9,108.9,15,63,110,24.9,12,2,10
15,Falcons,16,21.2,339,420,26.2,1606,3.8,100.4,13,46,95,22.6,8,1,9
16,Giants,16,26.2,420,403,25.2,1609,4.0,100.6,5,39,77,19.1,8,0,4
17,Jaguars,16,23.5,376,354,22.1,1473,4.2,92.1,5,45,69,19.5,8,1,9
18,Jets,16,24.2,387,448,28.0,1868,4.2,116.8,11,58,99,22.1,13,2,6
19,Lions,16,22.4,358,354,22.1,1335,3.8,83.4,7,36,71,20.1,7,0,7
20,Packers,16,23,368,436,27.2,1850,4.2,115.6,8,65,100,22.9,9,1,8
21,Panthers,16,31.2,500,526,32.9,2282,4.3,142.6,19,47,136,25.9,11,3,8
22,Patriots,16,29.1,465,383,23.9,1404,3.7,87.8,14,38,87,22.7,4,0,2
23,Raiders,16,22.4,359,370,23.1,1457,3.9,91.1,7,54,74,20.0,10,2,6
24,Rams,16,17.5,280,429,26.8,1956,4.6,122.2,16,71,92,21.4,19,7,12
25,Ravens,16,20.5,328,383,23.9,1478,3.9,92.4,8,44,89,23.2,7,1,6
26,Redskins,16,24.2,388,429,26.8,1566,3.7,97.9,9,48,81,18.9,10,2,11
27,Saints,16,25.5,408,397,24.8,1491,3.8,93.2,16,70,98,24.7,6,2,3
28,Seahawks,16,26.4,423,500,31.2,2268,4.5,141.8,10,69,128,25.6,12,2,7
29,Steelers,16,26.4,423,388,24.2,1724,4.4,107.8,16,55,91,23.5,15,3,5
30,Texans,16,21.2,339,472,29.5,1731,3.7,108.2,7,41,90,19.1,7,1,5
31,Titans,16,18.7,299,371,23.2,1485,4.0,92.8,10,87,66,17.8,10,2,9
32,Vikings,16,22.8,365,474,29.6,2211,4.7,138.2,18,80,113,23.8,14,6,9